compliment,lang,category
You are ravishing\.,en,sexy
You are gorgeous\.,en,beauty
You are lovely\.,en,beauty
You do not need makeup\. You are already so naturally beautiful\.,en,beauty
You are adorable\.,en,cute
You are really cute\.,en,cute
You look mesmerizing\.,en,beauty
You look prettier than a picture\.,en,beauty
You are alluring\.,en,beauty
You look dazzling\.,en,beauty
You are attractive\.,en,beauty
You are elegant\.,en,beauty
You are breathtaking\.,en,beauty
You are beautiful\.,en,beauty
I love your eyes\.,en,beauty
I love your lips\.,en,sexy
You have the most beautiful smile\.,en,beauty
I love how beautiful you look when you sleep\.,en,beauty
I like your style\.,en,clothes
Your sense of fashion is amazing\.,en,clothes
I like your shoes\.,en,clothes
I like your dress\.,en,clothes
You have the most beautiful, radiant eyes\.,en,beauty
You have amazing cheekbones\.,en,beauty
I like your hair\.,en,beauty
I love how curly your hair is\.,en,beauty
You are so gorgeous and that is the least interesting thing about you\.,en,beauty
You look even more beautiful without makeup\.,en,beauty
You are such a natural beauty\.,en,beauty
You look stunning in that dress\.,en,beauty
You are so kissable\.,en,sexy
You are intoxicating\.,en,beauty
I love how sensual you are\.,en,mind
I love your curves\.,en,sexy
You are the sweetest\.,en,beauty
You are my safe place\.,en,thanks
I feel so happy here with you\.,en,thanks
There is something about being with you that makes me want to be the best person that I can be\.,en,thanks
You never fail to show me that you care about me\. Thank you for that\.,en,thanks
You are the most loveliest person I have been with\.,en,character
How did I get so lucky to have you in my life?,en,thanks
You make me the happiest man in the world\.,en,thanks
You are too adorable\.,en,beauty
Nobody in this world makes me happier than you do\.,en,thanks
To me, you are perfect\.,en,character
Could you be any cuter?,en,beauty
You cook better than my mom\.,en,skill
Whoever is lucky enough to end up with you will never be bored a day in their life\.,en,character
You are my greatest adventure\.,en,thanks
You just take my breath away\.,en,thanks
You have the softest kisses\.,en,skill
I love every inch of you\.,en,sexy
You are a dream come to life\.,en,thanks
You are my dream come true\.,en,thanks
They say that there are plenty of fish in the sea, but you are my perfect catch\.,en,thanks
I love holding you in my arms\.,en,thanks
I love holding you in my embrace\.,en,thanks
Your skin is so soft\.,en,beauty
I feel so much happier around you\.,en,thanks
With you in my life, everything just makes sense\.,en,thanks
You fill up an empty space in my heart that I never knew existed\.,en,thanks
You make me feel so full in my heart and in my soul\.,en,thanks
I could listen to you talk for hours and never get tired of it\.,en,thanks
You smell so nice\.,en,beauty
You are always the most beautiful woman in the room\.,en,beauty
You are everything to me\.,en,thanks
You are my whole world\.,en,thanks
You are my entire universe\.,en,thanks
You complete me\.,en,thanks
Being with you means the world to me\.,en,thanks
Being with you has made me so happy\.,en,thanks
You are the first thing that I want to wake up to every morning and the last thing I want to see before I fall asleep\. I want my days to begin and end with you\.,en,thanks
Without you standing by my side, my life would have no meaning or purpose\.,en,thanks
I cannot keep my eyes off of you\.,en,beauty
You are my best friend for life\.,en,friend
Thank you for never getting tired of me\.,en,friend
You are the friend that everyone wishes that they had\.,en,friend
I am so happy that our paths crossed\.,en,thanks
I hope I can accomplish as much as you have\.,en,career
I really look up to you\.,en,career
You have such a great mind for detail\.,en,skill
You have such a beautiful family\.,en,family
You are smart,en,smarts
You are sweet\.,en,cute
You are so much fun to be around\.,en,skill
You make life so much more interesting\.,en,skill
My life was a little boring before you came around\.,en,skill
You are such a great listener\.,en,skill
